askerId	bestAnswererId	questionId	bestAnswerId	maxUpvoteCount
6662601	7681248	53892890	54004446	8
7660194	194586	55962678	55962812	7
1581390	10133797	48714407	58868383	6
8791503	6287308	48569166	48569899	17
5447280	9209546	54360549	54363480	8
8607740	10138	55581941	55623451	10
8952565	9209546	50098025	50098393	12
10121921	7429447	52534658	52535654	29
3180716	3824723	54345667	54362051	7
5538535	357349	48720833	51831928	56
8913334	2464597	51070985	51071037	21
1953475	8676953	48046504	48062547	12
9478926	6583140	49916371	49916569	8
5052566	1231073	49978705	49979186	19
4276403	3603682	48174935	48178776	41
4127542	3413092	50557234	53561512	84
4383245	3293881	50765059	50765139	7
5576930	11492024	56334210	56427596	16
user8358337	8663760	48951591	49611289	19
3437787	4124317	48947656	48947834	7
5236124	5003756	49898742	49898878	9
9306906	3154274	50416538	53791690	11
328036	328036	53271795	53271796	5
613540	6394722	58018300	58021389	6
2417204	2826937	50689359	59220344	10
2252819	7801986	54175042	54240362	54
9112585	3293881	53631460	53631518	5
3451339	7256341	54890328	54934050	14
1128088	850848	48595481	59159239	5
8230738	3902974	48135624	48135838	15
2743206	812183	49836676	49836753	814
215487	14132	49885808	49892463	7
7462615	9081395	54588066	55514578	8
1558125	8008776	48613151	48613514	6
6228056	4909087	49545599	49545635	10
10097431	11273429	51677283	55402987	6
5149399	3639581	50052295	51698037	21
8172687	3185459	48936869	48937007	7
8191929	9794932	58028976	58029409	5
771848	771848	48066322	48066323	16
7048431	deceze51762227	51762227	51762340	8
3079726	3791827	50504500	50504635	101
5704562	3374996	51308994	51310759	5
6651056	7919597	48699954	48700443	9
8500516	11003083	51921470	54486865	5
8667423	9209546	50170943	50171010	7
8210824	17160	51254065	51254092	5
900078	5249307	48743106	48743337	15
1436508	1714410	52468956	52511383	5
10396288	3208297	52781433	52781450	5
10123697	7326738	53771668	53771723	8
3366418	1701416	53698035	56511889	8
10611983	2357112	54047100	54047205	11
1768141	624831	56013578	56082744	7
3620936	Martijn Pieters49851776	49851776	49852437	11
1581390	1581390	51125462	51125653	21
8804904	10587171	51114826	53088606	13
4796963	5003756	51060894	51061279	10
7235253	9313033	48669514	48671384	13
2148718	1600898	53993334	53996189	7
10750522	10750805	53637182	53637669	44
10446619	3397819	56310898	57130772	5
5355343	6243352	53527850	53527895	7
5110870	5741205	48155787	48155811	7
4885154	4124317	56942670	56942725	60
9664625	3005167	49902585	49903262	7
6299756	7384740	52617318	52620244	8
4942590	3265828	48698536	50189920	14
1977620	1977620	48255244	48255245	13
3437787	11227781	55301343	55355445	6
3180386	2336654	51034307	51034360	5
3680098	5555052	51167099	51171618	10
9468014	2099607	53446905	53447141	5
4049762	2901002	51878601	51878680	9
9142137	458214	53581023	53582239	10
3895259	4478977	48145992	52627264	6
9553450	9209546	51619615	51619765	7
1943192	1617295	52805115	56031239	8
9103590	8331756	49109791	50089969	26
8723890	4685471	54614157	54618898	9
