from	to
5762576	4046632
5762576	11265198
5762576	1643542
5762576	2546233
5762576	12521728
3590067	12426666
11777554	3927683
4949165	4949165
4949165	4510614
10964329	9508635
2883254	174652
1084813	72911
1084813	3705840
1084813	2659575
5446749	5446749
5446749	2956066
5446749	2215035
5446749	8944702
5446749	7483494
5446749	2701950
5446749	2994854
5446749	5884955
5446749	1150683
5446749	3503565
8897793	9958942
8897793	789671
4504945	7509065
6662601	7681248
6258583	1591921
7660194	194586
7660194	4652358
10314210	532312
10314210	10283066
8099378	10553976
8099378	8394915
8099378	1771778
1581390	10133797
7974205	6262485
4624466	10886420
4624466	3707039
4624466	1306351
2771169	3288890
2771169	6301269
11197940	10548514
11197940	2119941
5130078	3279716
10905839	6669475
11103122	438386
11103122	5875007
11103122	9876427
11103122	7513730
11804897	11599100
11022022	390363
8791503	4683950
8791503	6287308
9738997	2621625
3064538	3064538
42636	11049364
42636	1064544
42636	6234141
10641888	8431101
4556546	9361555
5447280	7505383
5447280	9209546
8607740	10138
8607740	5176549
8607740	6631367
8607740	5739514
8607740	6779212
10688647	2696165
5373240	4388278
5571914	11442410
5571914	4596694
10704050	8160718
10704050	11015427
10704050	6347629
5193614	4859791
5193614	9247203
8952565	704848
8952565	9209546
10121921	7429447
10121921	7838574
10121921	6916510
10121921	4816462
10121921	555002
10121921	5711655
10121921	5744896
10121921	12226047
11743419	2469283
11969591	7429447
3180716	3824723
3180716	8044221
3180716	4134683
3180716	1970528
3180716	4180545
10672568	10668601
4311715	8267726
4311715	9698684
10947461	10931234
1288109	1753579
6908105	5087436
10243773	8089994
10243773	10065556
3505172	6622587
7766158	5821988
11132972	6939324
11132972	3753826
1601716	3991649
1601716	4718434
11633920	8957335
10724777	2097240
4428032	9998079
4428032	939364
304215	447599
304215	Angel Perez57836443
8129399	7944854
728785	6901690
728785	12518109
5538535	5538535
5538535	8573331
5538535	2508870
5538535	357349
5538535	2419960
5538535	3261292
5538535	7678684
5538535	10222665
5538535	2994854
8913334	2464597
8913334	6361531
8913334	3185459
8913334	10962477
8913334	7061045
8913334	11792700
8913334	11691751
9559356	7919597
9559356	1982882
1572164	939364
9837133	5577765
10521300	6369347
10521300	11691751
4461300	6847100
1953475	8676953
1953475	10123804
9889082	9889082
9889082	9963374
6907832	2069725
4907178	5687042
4907178	10747237
5084432	6622544
5084432	9440834
9397953	3712531
9397953	8068625
3923510	10615805
11118424	7030285
3590067	7326738
3590067	4803182
10202998	833530
10202998	10612625
11107068	1739761
11107068	4073745
9478926	4098013
9478926	9209546
9478926	6583140
9478926	11691751
6353522	9321755
6353522	9994611
9435410	7996768
4230539	5122246
5052566	6632342
5052566	1231073
5052566	6684551
5052566	10505315
5052566	10698789
5052566	5052566
5052566	10790048
5052566	8200791
5052566	4736972
5052566	10833377
5052566	4157431
10429891	9093112
10429891	4485622
5843840	9521684
5843840	6463558
5561272	8203144
5561272	3144322
9051118	2261273
9051118	4834
9051118	9220171
