from	to
4046632	1643542
11265198	1643542
2546233	1643542
12521728	1643542
2956066	5446749
2215035	5446749
8944702	5446749
7483494	5446749
2701950	5446749
2994854	5446749
5884955	5446749
1150683	5446749
3503565	5446749
4652358	194586
4683950	6287308
7505383	9209546
5176549	10138
6631367	10138
5739514	10138
6779212	10138
704848	9209546
7838574	7429447
6916510	7429447
4816462	7429447
555002	7429447
5711655	7429447
5744896	7429447
12226047	7429447
8044221	3824723
4134683	3824723
1970528	3824723
4180545	3824723
5538535	357349
8573331	357349
2508870	357349
2419960	357349
3261292	357349
7678684	357349
10222665	357349
2994854	357349
6361531	2464597
3185459	2464597
10962477	2464597
7061045	2464597
11792700	2464597
11691751	2464597
10123804	8676953
4098013	6583140
9209546	6583140
11691751	6583140
6632342	1231073
6684551	1231073
10505315	1231073
10698789	1231073
5052566	1231073
10790048	1231073
8200791	1231073
4736972	1231073
10833377	1231073
4157431	1231073
4276403	3603682
12444207	3603682
458741	3413092
10931964	3413092
11220315	3413092
10614423	3413092
10336411	3413092
4176649	3413092
11181334	3413092
8411263	3413092
12257274	3413092
1380994	3413092
12463202	3413092
12514132	11492024
18243	8663760
8881141	8663760
9458126	8663760
10318385	8663760
10472190	8663760
4257943	8663760
1115728	8663760
9192711	8663760
9200834	8663760
3661767	8663760
5897185	8663760
9813194	8663760
624829	5003756
4871110	5003756
7388570	5003756
9306906	3154274
10701227	3154274
5091805	328036
8264778	2826937
1637351	2826937
837073	2826937
2903906	2826937
11203006	2826937
2903906	2826937
1754752	2826937
3043335	7801986
11136984	7801986
2350145	7801986
2685343	7801986
4467424	7801986
10104362	7256341
8942966	7256341
1021819	7256341
571517	850848
2243682	850848
10231802	3902974
1799284	3902974
3398492	3902974
2182710	812183
9710526	812183
9575715	812183
7596504	812183
3693173	812183
9010059	812183
6571826	812183
10032958	812183
10115378	812183
8636829	812183
7963358	812183
10191878	812183
3734477	812183
895245	812183
1404311	812183
7780337	812183
7103882	812183
1635700	812183
1225660	812183
980687	812183
1507649	812183
659077	812183
12711	812183
6309012	812183
7391092	812183
1323471	812183
4028102	812183
9905745	812183
3464971	812183
215487	14132
11032232	9081395
4471715	8008776
6671176	4909087
9209546	4909087
9590827	11273429
9235246	11273429
6253693	3639581
7326738	3185459
5364318	3185459
9603973	9794932
12271466	9794932
9158477	9794932
12282702	9794932
9254522	9794932
1009508	9794932
953553	771848
7377460	771848
4647152	deceze51762227
11649795	3374996
2402281	11003083
7434365	17160
5701085	17160
3198235	17160
812183	5249307
109618	1714410
9385203	1714410
10038165	7326738
6149357	7326738
9142590	7326738
10791730	1701416
10858457	1701416
6272956	1701416
6210807	1701416
10820672	1701416
10500330	1701416
11002096	1701416
9582871	1701416
9228901	1701416
8928244	1701416
11883248	2357112
8031479	624831
1175948	624831
254103	624831
6633975	1581390
6835092	1581390
11044933	1581390
2719377	1581390
6155733	10587171
9999520	10587171
8255456	5003756
12501496	5003756
7235253	9313033
2069071	1600898
10748501	10750805
8931089	10750805
6519334	10750805
9476653	10750805
10580958	10750805
9666550	10750805
5671926	10750805
9295300	10750805
8467946	10750805
5858260	10750805
7658051	10750805
6306375	10750805
4987005	10750805
11408389	10750805
Hritik kumar53637182	10750805
10871278	10750805
10086634	10750805
9925236	10750805
10016058	10750805
12025373	10750805
12052469	10750805
5328951	10750805
9109799	10750805
4502537	10750805
10448129	10750805
6701196	10750805
10061482	3397819
1609925	3397819
254436	3397819
6671176	6243352
3487040	6243352
10708483	6243352
4909087	5741205
7964527	5741205
3344221	5741205
9603571	4124317
9586134	4124317
3952030	4124317
3020051	4124317
11154841	4124317
1487355	3005167
5391248	7384740
4942590	3265828
1586947	3265828
2134991	1977620
20862	1977620
3483203	2336654
7964527	2336654
3704368	2336654
3180386	2336654
1055279	5555052
2025949	5555052
12491741	5555052
7454639	2901002
12491510	2901002
ShuehCheng Hu53581023	458214
10843558	458214
5581699	458214
12491029	458214
3895259	4478977
9517224	4478977
5695018	9209546
1008596	1617295
6174268	1617295
620672	1617295
