from	to	weight
4046632	1643542	0.285714285714
11265198	1643542	0.0
2546233	1643542	0.0
12521728	1643542	0.0
2956066	5446749	0.201183431953
2215035	5446749	0.00591715976331
8944702	5446749	0.0650887573964
7483494	5446749	0.201183431953
2701950	5446749	0.0177514792899
2994854	5446749	0.00591715976331
5884955	5446749	0.0414201183432
1150683	5446749	0.0118343195266
3503565	5446749	0.0
4652358	194586	0.0
4683950	6287308	0.0
7505383	9209546	0.375
5176549	10138	0.3
6631367	10138	0.0
5739514	10138	0.1
6779212	10138	0.0
704848	9209546	0.583333333333
7838574	7429447	0.0
6916510	7429447	0.206896551724
4816462	7429447	0.965517241379
555002	7429447	0.241379310345
5711655	7429447	0.0344827586207
5744896	7429447	0.0
12226047	7429447	0.0
8044221	3824723	0.285714285714
4134683	3824723	0.142857142857
1970528	3824723	0.0
4180545	3824723	0.0
5538535	357349	0.178571428571
8573331	357349	0.375
2508870	357349	0.142857142857
2419960	357349	0.589285714286
3261292	357349	0.5
7678684	357349	0.0
10222665	357349	0.375
2994854	357349	0.0535714285714
6361531	2464597	0.619047619048
3185459	2464597	0.238095238095
10962477	2464597	0.0
7061045	2464597	0.0
11792700	2464597	0.0
11691751	2464597	0.0
10123804	8676953	0.0
4098013	6583140	0.625
9209546	6583140	0.125
11691751	6583140	0.0
6632342	1231073	0.315789473684
6684551	1231073	0.105263157895
10505315	1231073	0.315789473684
10698789	1231073	0.105263157895
5052566	1231073	0.210526315789
10790048	1231073	0.105263157895
8200791	1231073	0.0
4736972	1231073	0.0526315789474
10833377	1231073	0.421052631579
4157431	1231073	0.0
4276403	3603682	0.0243902439024
12444207	3603682	0.0
458741	3413092	0.452380952381
10931964	3413092	0.190476190476
11220315	3413092	0.0
10614423	3413092	0.0
10336411	3413092	0.0714285714286
4176649	3413092	0.0119047619048
11181334	3413092	0.0119047619048
8411263	3413092	0.0
12257274	3413092	0.0
1380994	3413092	0.0
12463202	3413092	0.0
12514132	11492024	0.0
18243	8663760	0.473684210526
8881141	8663760	0.105263157895
9458126	8663760	0.0526315789474
10318385	8663760	0.0
10472190	8663760	0.0
4257943	8663760	0.105263157895
1115728	8663760	0.0526315789474
9192711	8663760	0.105263157895
9200834	8663760	0.0
3661767	8663760	0.0
5897185	8663760	0.0
9813194	8663760	0.0
624829	5003756	0.111111111111
4871110	5003756	0.333333333333
7388570	5003756	0.0
9306906	3154274	0.0
10701227	3154274	0.181818181818
5091805	328036	0.2
8264778	2826937	0.1
1637351	2826937	0.1
837073	2826937	0.2
2903906	2826937	0.5
11203006	2826937	0.2
2903906	2826937	0.0
1754752	2826937	0.0
3043335	7801986	0.166666666667
