poster_user_id	post_type	question_id	is_answered	question_title	answer_count	view_count	answer_id	answer_creation_date	is_accepted	question_creation_date
12318014	question	58686285	False	How do I isolate a .json file	0	2	0	0	na	1572832276
2001654	answer	58684685	na	na	na	na	58685553	1572823913	yes	na
12317340	question	58684685	True	Python PyQt5 - Selecting inserted cursor text?	1	24	0	0	na	1572815674
347767	answer	58685624	na	na	na	na	58686280	1572832184	yes	na
11642562	question	58685624	True	adding headers to scrapy?	1	10	0	0	na	1572824664
11676690	question	58686271	False	How to avoid duplicate insertion of records using teradata sql driver in python?	0	7	0	0	na	1572832090
11392720	answer	58685993	na	na	na	na	58686268	1572832055	no	na
12317813	question	58685993	False	How can I capture the URL of the devices connected to my Network	1	16	0	0	na	1572828799
12317894	question	58686208	False	How to import a bmp (and receive the pixel count) and py file into my code for image processing?	0	7	0	0	na	1572831416
11958101	question	58686261	False	How to merge two csv files and output in new file with true or false?	0	8	0	0	na	1572831987
12104401	question	58686257	False	How can I use time to make random arrows in pygame?	0	6	0	0	na	1572831973
6520041	answer	58686175	na	na	na	na	58686236	1572831702	no	na
8431111	answer	58686175	na	na	na	na	58686241	1572831744	no	na
7149485	question	58686175	False	How to display or print all elements of a large python list in the editor	2	17	0	0	na	1572831147
2001654	answer	58683669	na	na	na	na	58686237	1572831713	no	na
12307683	question	58683669	False	how can i Thread and play sound while program still working and noe freezing	1	18	0	0	na	1572807962
9753808	question	58686226	False	How add elemeny to a numpy array in a python function	0	12	0	0	na	1572831627
11306246	question	58683064	False	How to make a foreign key refer to a particular column in django	0	18	0	0	na	1572803983
631911	question	58650448	False	Calculating the exact length of an SVG Arc in Python?	0	31	0	0	na	1572552055
3109549	answer	47881339	na	na	na	na	47881489	1513666520	no	na
7114428	answer	47881339	na	na	na	na	47890144	1513697100	yes	na
8600836	answer	47881339	na	na	na	na	47892226	1513704302	no	na
10275600	answer	47881339	na	na	na	na	58686209	1572831445	no	na
9116544	question	47881339	True	How to make python script to give sudo prompt my password	4	1678	0	0	na	1513665727
6101336	answer	58685974	na	na	na	na	58686003	1572828910	no	na
8302635	answer	58685974	na	na	na	na	58686006	1572828939	no	na
858675	answer	58685974	na	na	na	na	58686024	1572829138	no	na
10430394	answer	58685974	na	na	na	na	58686037	1572829361	no	na
12139163	question	58685974	False	how to split line in readlines and save them in different list?	4	32	0	0	na	1572828503
699285	question	58686202	False	Odoo python models - how to access related models	0	4	0	0	na	1572831367
5161044	question	58686201	False	Why does this pattern of [.]* not work if the matched string is not at the starting position?	0	19	0	0	na	1572831366
8302635	answer	58686115	na	na	na	na	58686184	1572831244	no	na
12317855	question	58686115	False	How can I check if an if statement inside a while loop has been satisfied?	1	28	0	0	na	1572830347
7348030	answer	58683725	na	na	na	na	58683844	1572809175	no	na
6789321	answer	58683725	na	na	na	na	58684000	1572810427	no	na
11063912	question	58683725	False	How do I manipulate data without save it locally	2	70	0	0	na	1572808358
8686430	answer	58685566	na	na	na	na	58685613	1572824554	no	na
6423998	answer	58685566	na	na	na	na	58686172	1572831091	no	na
12317667	question	58685566	False	Understanding simple recursive function	2	44	0	0	na	1572824003
4092588	answer	58686081	na	na	na	na	58686150	1572830737	no	na
12317878	question	58686081	False	How would I detect duplicate elements of a string from another string in python?	1	22	0	0	na	1572829933
858675	answer	58685551	na	na	na	na	58685977	1572828550	no	na
12178196	answer	58685551	na	na	na	na	58686163	1572830904	no	na
12178196	question	58685551	False	I am no longer getting an output file on my python code in pycharm	2	23	0	0	na	1572823884
12317953	question	58686155	False	Unresolved import even though I have import installed	0	14	0	0	na	1572830824
12316996	question	58683653	False	How do I create histogram in python in a category with variables?	0	17	0	0	na	1572807833
10640534	answer	58676687	na	na	na	na	58676840	1572746148	no	na
355230	answer	58676687	na	na	na	na	58685383	1572821917	no	na
10728	question	58676687	False	What&#39;s the Pythonic way to map with multiprocessing.Pool while also appending to the iterator?	2	61	0	0	na	1572744140
9177877	answer	58685642	na	na	na	na	58685871	1572827365	yes	na
10189214	answer	58685642	na	na	na	na	58686142	1572830688	no	na
11852936	question	58685642	True	Rename every 2 column with same from another data frame pandas	2	22	0	0	na	1572824846
12317884	question	58686139	False	Python Opencv, find a specific vector shape in an image using shape detection	0	4	0	0	na	1572830653
12317918	question	58686136	False	Not able to store value in the flat file from an API	0	7	0	0	na	1572830635
3051961	answer	32290096	na	na	na	na	32290192	1440878576	yes	na
5075502	answer	32290096	na	na	na	na	46354672	1506036572	no	na
5272880	answer	32290096	na	na	na	na	50159769	1525364619	no	na
12317938	answer	32290096	na	na	na	na	58686132	1572830596	no	na
1209451	question	32290096	True	python OpenCV - add alpha channel to RGB image	4	31750	0	0	na	1440877785
12288368	answer	58684191	na	na	na	na	58686126	1572830537	no	na
8371133	question	58684191	False	Adapting to Python/R as a SAS expert	1	28	0	0	na	1572811802
12304637	question	58686121	False	Clicking on instagram thumbnails with webdriver	0	9	0	0	na	1572830475
1551688	answer	49149241	na	na	na	na	50447213	1526899775	no	na
3638250	answer	49149241	na	na	na	na	58686117	1572830376	no	na
9455354	question	49149241	True	ODE Fitting with Symfit for Python: How to get estimations for intial values?	2	319	0	0	na	1520417468
11728042	question	58686105	False	python dynamic super class change	0	13	0	0	na	1572830246
33006	answer	280243	na	na	na	na	280284	1226390060	no	na
4960	answer	280243	na	na	na	na	280286	1226390089	no	na
11527	answer	280243	na	na	na	na	280572	1226400403	no	na
9493	answer	280243	na	na	na	na	281294	1226419186	no	na
11527	answer	280243	na	na	na	na	282238	1226439930	no	na
4279	answer	280243	na	na	na	na	283630	1226488215	yes	na
130427	answer	280243	na	na	na	na	3538133	1282406691	no	na
user201788280243	answer	280243	na	na	na	na	6658636	1310434661	no	na
