from	to
3537687	3574081
3537687	1090562
3537687	2956066
3537687	5884955
8721742	8721742
8721742	2266772
7528619	1090562
7528619	2956066
7528619	2461937
1536499	1699075
8085890	6106129
1581390	10133797
10724777	2097240
3994824	3994824
8191929	1009508
9422637	7469434
9422637	4706171
5606352	349130
5606352	4706171
7704482	9698518
3747801	7649152
6688750	2097240
12264499	2959389
6217326	3994228
6217326	4549682
2530674	6596664
2530674	2097240
1324765	2097240
7732719	2097240
11945144	8551949
11945144	5136550
11945144	6370655
7512010	5884955
7512010	5136550
4317729	10886420
4317729	2956066
10704050	2097240
5452997	2805070
11630081	11630081
3741834	11065347
11816060	1338797
893697	1714410
12424865	2973474
9772204	5154274
8700970	1667256
1902610	1902610
4267015	1519264
6276393	4449586
10771746	3374996
1150683	6276241
12406471	10133797
7554826	6370655
6802252	6802252
11368194	10290351
4509339	10668469
4509339	10948657
1452257	1714410
10704050	9758922
11999825	8954691
3204706	11897007
3043636	7137636
3043636	3043636
6342380	4228275
3167448	1029614
3167448	5786339
6372859	12117968
9907733	12117968
4788501	4788501
4788501	4093278
6375313	2197248
6375313	3109123
6375313	1090562
6651938	4228275
4868427	4868427
10712335	4592059
10712335	10712335
6802252	7248396
6802252	6796042
9855577	10133797
9855577	10133797
11770758	8563649
11770758	user7676091
880783	880783
1424739	2956066
7962824	12266923
10704050	12266923
3216754	2097240
6057371	7456923
6057371	8047535
6057371	6057371
7815941	2846923
7815941	8563649
7815941	11220884
1866775	712995
1866775	1866775
5651936	5098368
5651936	5307226
5651936	1090562
5651936	207661
5651936	1574779
567620	2097240
3424990	1220827
3424990	9179860
10392393	1782792
7924106	3994824
12209793	1190882
12209793	7331631
12209793	5136550
9276417	1714410
11573842	11220884
6293886	5974433
1490721	1490721
10354279	10354279
1450312	5352399
1450312	423926
8767500	349130
8767500	8563649
8767500	8767500
4296850	10921263
4296850	4296850
8766071	8766071
1578191	712995
4429617	2846923
3551700	5825953
3551700	3551700
6807211	5974433
6807211	8068733
6807211	6786718
9008599	3353760
9008599	2628369
1115237	2628369
4451856	5974433
4509378	5974433
4509378	7443104
5027916	5974433
2182857	5974433
588855	588855
588855	10948657
11522935	12118774
11522935	5545458
11701537	3994824
7194297	2097240
10693598	7212365
9037208	4685471
10594993	4685471
6621340	4685471
8913947	4685471
8328970	4685471
5794690	4685471
8861562	5974433
8186293	5974433
2163392	5974433
8067584	5974433
9332174	5085211
5328198	5328198
5328198	7212365
9855577	7212365
9855577	10133797
5352399	2956066
11368194	5597718
11368194	11207938
7649569	5236005
7649569	7117003
8733347	10133797
7089912	1524289
7089912	4640905
11765695	10133797
5046896	2217210
5046896	2097240
5046896	470184
5046896	4170095
6510496	1381755
11486611	834565
5774840	3098092
1889418	2097240
1179925	834565
8438176	8438176
11520760	10886420
5380380	8842694
5380380	5136550
2097240	1782792
1917160	1917160
4496794	5324310
4404709	2099607
6997665	1849975
6997665	5652313
8211505	7331631
8211505	4685471
8754011	11952444
5310324	5974433
5310324	5310324
5310324	9793316
