from	to
1581390	10133797
7704482	9698518
6217326	3994228
893697	1714410
9645789	6498293
4868427	4868427
610569	6547495
1866775	712995
1578191	712995
3551700	3551700
1115237	2628369
4509378	5974433
8913947	4685471
4031331	5974433
8861562	5974433
3126802	5974433
8186293	5974433
8067584	5974433
588855	1340606
2835597	2826818
8095733	5198595
5774840	3098092
4496794	5324310
8781105	8781105
9264339	2060205
768600	6438779
604734	604734
4118039	9582060
1934212	4909087
7256784	faraz faraz50007085
3457417	359178
9028779	2628369
7933838	5851928
9147788	11051372
3458727	1313897
6185403	3846213
7295767	2956066
4229637	604734
6470853	9393102
8006728	3688123
4088201	2097240
4773697	6739521
3990607	5898879
6356060	712995
942767	4086968
3751644	4320693
9369590	5330223
6705122	6729010
9006027	9006027
6002424	2956066
8201676	7137636
5036521	5208522
5010040	9691861
8815081	349130
9577549	648946
7928487	1531463
5468985	5825953
9372317	8190410
9658218	6604502
2706419	9280994
9715657	5495381
9486067	4713386
7748984	10389355
7627058	9944045
9697805	3794110
5008823	7229417
7908461	9014655
2956066	4254425
5352399	6193383
5722540	200669
4728650	4728650
8814209	5353461
1040719	10093935
8874373	4139024
4967460	8544925
7726284	712995
673592	712995
1639266	7128719
9181865	9181865
1179925	1269942
7297511	7699305
8015346	8571036
6038900	2717128
2961270	4790871
818663	6937913
4629268	7699696
8129236	4320693
6277964	7443104
3419427	3574081
5688175	9305450
9950426	5825953
6166220	6166220
4790871	2956066
8811242	2099607
9811496	8974303
1389680	1389680
5539313	797495
3653289	2723405
3979919	1924843
9075609	2429640
5078993	2084384
7483494	7483494
3457456	1849998
6541612	9412325
7373736	3293726
9226290	10163890
6729700	10162802
608294	9165727
1446289	9390702
7054410	4855259
3854058	3990607
7733184	7733184
5171213	5974433
1275087	9572188
6185403	10014918
9237594	8514366
4844184	4844184
user7671217	9698518
8622843	1626564
7644710	624547
9978879	5614300
7281011	5668710
9855577	299462
7974205	6735980
9975536	2097240
9780574	624547
9972863	9933784
7772758	6300703
9689741	9689741
7200250	8563649
9933784	9933784
user9942241	5825953
9953596	2097240
4540320	9758922
7010304	624547
6712615	6464269
5468985	6780025
8095733	7996768
9738656	6470853
2276831	9412325
9931850	5140223
9871400	6280540
6850241	992489
7229974	5154393
5468985	8075709
6802252	9928663
5688175	604734
5063789	8143158
9922217	9758922
9919417	8831640
9238717	8334261
6533075	6533075
2337582	2337582
4196810	8563649
1934212	1471972
5904928	8793975
3538035	1735003
9908896	2097240
7146153	349130
5638586	1502527
4509378	8501250
856804	2956066
3947361	9758922
9887563	2097240
4863822	7293789
9527885	8501250
5151962	9758922
9875012	9875012
9880075	2904237
3989705	3989705
9871654	1538049
9761720	2832960
9871654	7770781
9869350	9752941
9517822	9758922
6878758	6878758
9805301	5629339
7943280	712995
9789147	2878004
4722692	9758922
1610428	8143158
8364914	9758922
7127268	Martijn Pieters50542683
9837430	3098092
9755419	4790871
7388586	8793975
6425854	5695018
6731940	8144434
8417527	9184597
9033700	124091
8388965	930254
9794186	7158702
8972819	2731113
7388586	1735003
1053384	4082104
9137052	4790871
704329	704329
9188950	1854664
2558671	624547
7666741	2097240
9165727	7994236
9798782	2097240
7926650	2097240
5959374	3928385
9045339	712995
8485963	9758922
1719901	8143158
6802252	9758922
8717447	7021322
5171213	5974433
8717447	8143158
9605728	702361
9061899	5546193
9019755	8121114
8738553	9530965
2279682	5886801
8376578	9535747
7500942	349130
5993117	4563779
1446289	1626564
9268685	5744361
9658877	9658877
916691	2097240
9732986	4713386
5225453	5225453
2696794	9679085
5904928	4320693
590335	2097240
8218075	7770781
7682259	8230355
1218046	5234494
8376578	147175
9364291	8805315
8658126	4320693
2487256	4320693
9219699	6704928
8526434	2097240
8241607	624547
5922381	349130
9693971	934904
423977	5797699
7280300	5974433
8553203	5974433
4663377	9479442
9144471	2237916
7417473	7776604
3291312	2230844
8375348	712995
9675097	9675667
1860369	1626564
7796520	567620
7060278	712995
7763306	7763306
9115663	5354373
5774840	712995
1731796	712995
3844480	2097240
9516563	9535642
3523464	7224320
9544630	7984359
7713885	16076
9122733	3768070
5904928	5904928
8426349	9590820
7896849	8112138
3604136	349130
9413255	3781180
2379009	1586200
624547	4790871
425097	2097240
4564080	9555194
7994456	712995
6422477	712995
8745579	7224320
9476513	8805315
9618990	9552800
9355802	4790871
3291198	1531463
7122952	7122952
4130393	4320693
3424990	3438069
4871661	2237916
4802126	3990607
3511901	7474369
9589617	5499527
4130393	9354122
8904471	9447606
5151962	6583140
6902674	9375901
1367204	2213289
9328846	4577647
7776604	1586200
1782553	1782553
6476080	9567041
4500090	4030272
9262788	700170
1179925	1531463
4773697	8563649
7730044	5471520
762845	762845
9542526	9542526
7462428	user942761349386362
8285122	5474902
9516563	1782792
4847250	8116864
6502946	6637111
8766071	2901002
3597858	4785185
8226050	1714410
9516820	4156567
9006027	9006027
9341540	4356204
9217904	5352399
7448860	1508542
699168	8830980
3424990	1508542
9464810	4338133
7457101	9412325
4703535	3086290
6503743	349130
1938026	5092995
8055061	3994824
4345535	4345535
5904928	1302884
8770778	8770778
5863689	2097240
4636220	4587043
8474537	712995
7764314	5504110
9284728	3441975
5240546	8981669
9284728	2878130
7759152	712995
1823270	4449586
712995	712995
9418446	3994824
8710510	3236925
8642450	5954086
5440222	3990607
9443673	8611641
1115237	4501602
311744	311744
3789200	9418446
470184	712995
3553597	3990607
3467353	8756315
1351721	9015998
8404593	5744361
8741309	1782792
6341510	3016988
8795104	3994824
9418446	4640905
648896	4640905
8495328	7811188
2178942	4640905
7677894	6780025
818663	6735980
1714410	6897590
7091449	2832960
9347341	768337
3128156	4685471
6097525	3990607
3158028	3990607
170521	712995
7574860	8411351
7260404	3990607
9114411	8807984
859559	4449586
2175173	1805756
5759084	4087400
2443944	7650740
4697075	2060205
3924957	549636
8736709	5098368
8015346	1782792
2271929	712995
6185403	3182843
6185403	9357409
6185403	4789373
8450262	8405902
6916919	9345883
6025145	8819660
3701294	6095482
8905091	8905091
6916919	5499527
7228012	130288
1179925	9345701
6185403	5536887
4437886	712995
9331140	1231073
6092839	4530440
1615732	1531463
67405	1380929
8428048	7039825
7101493	4449586
2067773	5197034
1380929	2097240
6185403	4139024
8736709	1306026
1373804	5974433
4390410	365102
4496332	7471933
9244174	3010574
6185403	2701950
8027995	5125275
9176491	3990607
8176285	3990607
5200329	3990607
8015346	712995
9294070	3990607
9295087	712995
6708644	3990607
8176285	3990607
3176741	562769
774907	2956066
3831845	2456064
8145356	5974433
6341510	1531463
2956066	712995
1354712	58866
6379902	6095482
9061561	5666034
2067919	6901690
8759276	712995
1158652	5499527
9192427	9192427
7487368	712995
667883	2956066
5204864	712995
5197034	5351549
9231518	712995
2969402	3908170
6379902	712995
3990607	3990607
8580622	8580622
8015346	712995
7449890	712995
4244519	9218947
9213381	349130
6506440	9214687
7100037	4132383
5297969	2097240
8523015	6076729
3735065	349130
8939735	8942907
9180975	9175058
3571955	712995
1653729	3908170
6659095	712995
9161093	2956066
9183951	712995
4134377	712995
8893169	4132383
7962244	6522112
3759231	3759231
9014709	712995
3933614	712995
2263419	7932273
3130081	1714410
9162290	6354331
