from	to
1090562	3574081
2956066	3574081
5884955	3574081
4706171	7469434
4706171	349130
4549682	3994228
2097240	6596664
8551949	5136550
6370655	5136550
5884955	5136550
10948657	10668469
3043636	7137636
4093278	4788501
2197248	3109123
1090562	3109123
10712335	4592059
7248396	6796042
user7676091	8563649
8047535	7456923
6057371	7456923
8563649	2846923
11220884	2846923
1866775	712995
9179860	1220827
7331631	1190882
5136550	1190882
423926	5352399
349130	8767500
8563649	8767500
4296850	10921263
5825953	3551700
3353760	2628369
7443104	5974433
10948657	588855
5545458	12118774
5328198	7212365
7212365	10133797
11207938	5597718
5236005	7117003
4640905	1524289
2097240	2217210
470184	2217210
4170095	2217210
5136550	8842694
5652313	1849975
7331631	4685471
7801852	11368194
1870832	5884955
8217456	2956066
5884955	8112138
7121726	5668710
1519264	5668710
7943474	3987085
7984359	9571777
4320693	6438779
768600	6438779
3994824	3742686
5884955	3742686
3103059	7649152
5027315	2790047
5196692	604734
5884955	604734
3867406	604734
4785185	1714410
628538	1714410
10288309	1714410
4393970	7789281
5353461	4909087
5284296	5284296
2684272	5284296
349130	5810950
8563649	1009508
6322860	6901690
3990607	5352399
5298937	5668710
6439899	2097240
7362261	8266386
5597718	8266386
5884955	6210807
9364931	2097240
5884955	11202128
2701950	3041068
5884955	3041068
4758972	2956066
624547	604734
207661	604734
5884955	604734
5884955	604734
10371987	349130
2379009	1735003
3250829	9794742
9794742	8625500
8625500	423926
222216	5094841
5381185	5094841
6117017	8625500
9393102	867889
4523949	7923337
10953776	562769
2461937	562769
11352300	8332501
2097240	3908170
2956066	5352399
2956066	5154274
4121305	4663377
7387369	7806129
562769	3214872
11264858	4663377
4297035	7126023
826983	7117003
7896849	7483494
8625500	147019
2956066	7483494
4137497	5709722
3901871	5974433
8328970	8767500
5974433	8767500
8942966	8767500
604734	4151395
5597718	4151395
5353461	4151395
1179925	7137636
10455493	10953776
5154274	10953776
5154274	5597718
5597718	5298937
5786339	4345719
7699696	604734
1091722	1951176
6438779	1951176
8563649	5974433
880783	5974433
6276241	826983
8942966	10651567
7770781	9280994
6838049	121687
7474000	2097240
1650630	10921263
2097240	3747801
3831845	3747801
6940428	9014655
3114434	5250620
7806129	5250620
2956066	5250620
2701950	5250620
825707	5496463
3103059	5496463
3767239	4280242
5516760	5353461
207661	4139024
10049949	7137636
1097517	2237916
2097240	9280994
2097240	2398444
9905470	6246880
3607203	user9477964
5884955	8180401
3994824	3813674
5353461	1714410
10718989	2398444
2956066	7119965
3076183	2217210
419116	5543198
1735003	5543198
5359882	3994824
5324310	349130
10051167	10051167
1953800	10491777
9619186	349130
4137497	102441
4954882	3994824
6619344	3994824
3114765	3963013
4983450	6791223
4305277	6791223
3607203	1179925
5140223	3767239
2956066	3574081
1090562	4925151
1626564	2099607
7953862	2099607
7353970	3574081
349130	2099607
1329296	2099607
1197860	9305450
3607203	10025506
4983450	1147398
9305450	1699075
2099607	1735003
3994824	3208297
1990276	1990276
1738214	8037585
5588279	6786718
7896849	2650622
8563649	3540982
2466336	1714410
2584518	1714410
969289	3293726
8894626	712995
51685	6804142
8234476	3954958
5904928	3574081
8563649	1329296
349130	5974433
1714410	4151395
9905470	2097240
3954958	1844390
3994228	2217210
2099607	7907205
2956066	3236925
691733	5297811
3901871	5297811
3417688	2097240
9698518	5825953
9938167	9412325
8075709	8075709
6796042	2097240
7984359	8143158
1868775	1735003
8563649	1471972
7430165	349130
1951176	419116
5834394	5056575
5098368	419116
2956066	419116
5974433	8563649
5972246	8563649
9590820	7158702
6470853	7158702
9535747	1735003
3994824	2097240
2097240	5974433
1446289	1626564
5904928	4320693
562769	5234494
3994824	8805315
1782792	4320693
8793975	4320693
3901871	2891324
2097240	567620
9357259	7763306
1510542	5904928
8913947	9590820
349130	8563649
4098013	8563649
3990607	4345535
8563649	2097240
507062	5708323
222216	1714410
7018582	5744361
3441975	2832960
3574081	419116
5499527	4789373
3120870	349130
7248396	349130
691733	3990607
3104974	712995
2956066	712995
9231518	712995
2956066	3208297
712995	9214687
5511906	7353970
7568128	7353970
8665686	3574081
2956066	712995
1861627	1953800
4706789	1497311
4870005	712995
4606149	712995
2628369	712995
9074528	712995
6797250	4747870
6504837	712995
3390810	4098013
2414957	1381755
3214872	4359558
4400904	4514817
2097240	5974433
1643939	521776
8096588	4785185
213615	1714410
5495304	3301202
5013415	5013415
1714410	290163
5328198	2097240
1518628	7214344
2097240	7214344
3038791	7214344
4393970	3157209
6487788	7137636
7148586	7137636
4393970	1782792
5417164	5974433
3574081	5588279
1782792	3994824
1782792	3666197
2443944	8143158
419116	1090562
3827807	6439899
4685471	1531463
7923337	7387369
5056575	1714410
1714410	4785185
3908170	5250620
5215538	5974433
7117003	5974433
8143158	1735003
3553155	6281477
3553155	6281477
1714410	6281477
7433039	2245776
8143158	7456923
2097240	5974433
7117003	3374996
3994824	7117003
7117003	1397946
1844390	2464597
3856463	5708323
7755254	1937197
3392132	1937197
1735003	1937197
1090562	1735003
645853	1735003
6398153	7847518
1738214	1714410
1862500	5453184
7847518	7214344
3041068	5215538
6521116	7849908
1953800	1861627
6748899	5974433
7471933	3109554
5848524	4356204
7664949	7664949
121687	3574081
7137636	5974433
5974433	3994824
3994824	1862500
7137636	1862500
7137636	349130
2414957	7119965
349130	5352399
1454804	2704763
6622817	901925
3994824	969289
969289	3994824
5443758	3994824
2479950	3111778
2411320	4452469
5951780	5786837
1883727	5098368
2147347	5132595
6095189	3928385
6095189	3928385
364772	3928385
988709	1714410
1714410	2824962
