from	to	weight
2135504	3994228	0.12
2485985	3994228	0.0
4549682	3994228	0.0
1203082	3994228	0.0
9690007	6547495	0.17647058823529413
6134679	6547495	0.11764705882352941
11589199	6547495	0.0
4402501	6547495	0.0
1866775	712995	0.11764705882352941
11658506	712995	0.0
5825953	3551700	0.5
7443104	5974433	0.0
1721793	1340606	0.3333333333333333
9422809	2826818	0.0
1659476	2826818	0.0
2532070	2826818	0.5
10518698	5198595	0.5
6573902	8781105	0.0
7430165	8781105	0.0
38483	2060205	1.0
4320693	6438779	0.5
768600	6438779	0.0
6660601	604734	0.04597701149425287
3639581	604734	0.04597701149425287
6930275	604734	0.20689655172413793
5196692	604734	0.0
5884955	604734	0.05747126436781609
3867406	604734	0.0
2204803	9582060	0.5
2668545	9582060	1.0
6653944	9582060	0.375
8920186	9582060	0.0
5353461	4909087	0.125
3626052	faraz faraz50007085	0.5
2956066	359178	0.0
8143158	359178	0.5
2230045	359178	0.0
4525474	2628369	0.8
2742811	2628369	0.0
1670642	11051372	0.0
5008606	11051372	0.0
5302905	1313897	1.0
4044640	1313897	0.0
4758972	2956066	0.0
6830722	2956066	0.0
624547	604734	0.6575342465753424
207661	604734	0.1643835616438356
5884955	604734	0.0
5884955	604734	0.0136986301369863
11645586	9393102	0.0
5646794	3688123	0.0
user970343950054419	2097240	0.6
4856034	2097240	0.4
4145760	2097240	0.0
9519536	6739521	0.0
4078182	9006027	0.0
249226	2956066	0.18181818181818182
7579393	2956066	0.0
5036521	5208522	0.5
9880192	9691861	0.25
11202889	349130	0.2
992489	648946	0.0
skitzcoder50005092	8190410	0.0
241013	6604502	0.0
7770781	9280994	0.8571428571428571
4921258	4713386	0.5
5997950	9944045	0.0
1548326	7229417	0.0
3179698	7229417	0.625
6940428	9014655	0.5
8011397	9014655	0.5
8624508	4254425	0.16666666666666666
2701950	4254425	0.1111111111111111
2956066	6193383	0.3333333333333333
5397987	6193383	0.0
5516760	5353461	0.2
5544055	5353461	0.7
6640791	5353461	0.0
9201239	5353461	0.8
9454845	5353461	0.0
8718493	5353461	0.1
3196926	5353461	0.4
2821756	5353461	0.3
10866394	10093935	0.0
207661	4139024	0.6666666666666666
10810551	8544925	1.0
6329006	712995	0.42857142857142855
2191065	712995	0.7142857142857143
6805186	9181865	0.0
10328434	9181865	0.0
407108	1269942	1.0
5587428	8571036	0.25
5361479	8571036	0.75
10437389	4320693	0.5
10253771	7443104	0.0
7353970	3574081	0.6666666666666666
3013527	9305450	0.5
1197860	9305450	0.75
9323693	6166220	0.0
10344347	6166220	0.0
7315710	2956066	0.0
9558048	1389680	0.0
10234394	797495	0.0
6267424	2723405	0.0
9400155	1924843	0.5
8926905	1924843	1.0
1699075	1849998	0.0
4819376	9412325	0.0
969289	3293726	0.0
5786475	9165727	0.0
3806464	9390702	0.4
6533353	9390702	0.5
6941244	9390702	0.5
9599949	9390702	0.1
7054410	4855259	0.5
349130	5974433	0.45454545454545453
9915495	5974433	0.45454545454545453
3126298	10014918	0.3333333333333333
9938167	5668710	0.0
1042017	6735980	0.0
2097240	9933784	0.0
2931946	8563649	0.0
9698518	5825953	0.0
3577783	7996768	0.0
9181441	7996768	0.0
9938167	9412325	1.0
5624170	8143158	0.0
7984359	8143158	0.0
1502527	9758922	0.0
1512522	8334261	0.0
8563649	1471972	1.0
5345883	2097240	0.0
7430165	349130	0.0
856804	2956066	0.0
2097240	9875012	0.0
9805301	5629339	0.0
9590820	7158702	0.5
6470853	7158702	0.0
9535747	1735003	1.0
1524289	8143158	0.0
9014655	702361	0.0
9754058	702361	0.0
6780025	5546193	0.0
3531894	5886801	0.5
9448277	4563779	0.3333333333333333
1446289	1626564	0.375
2598661	9658877	0.0
5904928	4320693	0.0
9145079	2097240	1.0
562769	5234494	0.3333333333333333
9627138	147175	0.0
3994824	8805315	0.5
1782792	4320693	1.0
8793975	4320693	1.0
1805756	6704928	0.0
5668710	5797699	1.0
2097240	567620	0.4
9357259	7763306	1.0
1510542	5904928	0.6666666666666666
8913947	9590820	1.0
2379009	1586200	0.0
8157402	9555194	1.0
3250340	4790871	0.0
5832311	3438069	0.5
6729010	3438069	0.25
7697801	3438069	0.0
4356204	3438069	0.0
7599901	1531463	0.5
349130	8563649	1.0
4098013	8563649	0.0
7453606	5471520	0.0
3494669	2901002	0.0
9511672	4156567	0.5
3990607	4345535	0.3333333333333333
8563649	2097240	0.0
7018582	5744361	0.75
3441975	2832960	1.0
6398153	7650740	0.3333333333333333
5499527	4789373	0.08333333333333333
6304205	1231073	0.0
Shruthi48677852	1231073	0.0
7456923	4530440	0.0
2792056	1380929	0.0
979377	7039825	0.0
1726797	3990607	0.0
5587428	712995	0.0
7456923	712995	0.0
3104974	712995	0.0
2956066	712995	0.0
5197034	5666034	0.0
9231518	712995	0.0
3414168	712995	0.0
1913898	712995	0.0
712995	9218947	0.5
712995	9214687	1.0
8676953	712995	1.0
712995	6522112	0.0
