from	to	weight
1090562	3574081	102.0
2956066	3574081	115.0
5884955	3574081	118.0
3537687	3574081	43.0
2956066	1090562	13.0
5884955	1090562	16.0
5884955	2956066	3.0
2956066	1090562	20.0
2461937	1090562	21.0
2461937	2956066	1.0
8085890	6106129	1.0
10724777	2097240	2.0
3994824	3994824	1.0
4706171	7469434	2.0
4706171	349130	10.0
5606352	349130	1.0
6688750	2097240	1.0
4549682	3994228	25.0
6217326	3994228	13.0
2097240	6596664	4.0
1324765	2097240	2.0
7732719	2097240	9.0
8551949	5136550	1.0
8551949	6370655	1.0
5884955	5136550	1.0
10886420	2956066	1.0
10704050	2097240	2.0
3741834	11065347	2.0
11816060	1338797	1.0
12424865	2973474	3.0
9772204	5154274	1.0
4267015	1519264	2.0
6276393	4449586	1.0
10771746	3374996	3.0
1150683	6276241	2.0
7554826	6370655	1.0
11368194	10290351	2.0
10948657	10668469	3.0
3204706	11897007	1.0
6342380	4228275	2.0
5786339	1029614	1.0
6372859	12117968	2.0
4093278	4788501	2.0
2197248	3109123	19.0
1090562	3109123	19.0
6375313	3109123	8.0
4868427	4868427	1.0
10712335	4592059	3.0
10712335	4592059	3.0
6802252	7248396	1.0
7248396	6796042	3.0
6802252	6796042	4.0
9855577	10133797	2.0
9855577	10133797	1.0
user7676091	8563649	2.0
1424739	2956066	16.0
7962824	12266923	2.0
10704050	12266923	2.0
3216754	2097240	3.0
6057371	7456923	1.0
6057371	7456923	1.0
6057371	8047535	1.0
6057371	8047535	1.0
7815941	2846923	1.0
7815941	8563649	1.0
7815941	11220884	1.0
1866775	712995	30.0
1866775	712995	6.0
5307226	5098368	143.0
1090562	5098368	106.0
207661	5098368	123.0
1574779	5098368	143.0
5307226	1090562	37.0
207661	1090562	17.0
1574779	1090562	37.0
5307226	207661	20.0
1574779	207661	20.0
9179860	1220827	59.0
3424990	1220827	25.0
7924106	3994824	5.0
9276417	1714410	6.0
6293886	5974433	10.0
349130	8767500	1.0
8563649	8767500	1.0
4296850	10921263	3.0
4296850	10921263	1.0
8766071	8766071	4.0
1578191	712995	1.0
4429617	2846923	1.0
5825953	3551700	1.0
6786718	5974433	5.0
5974433	8068733	2.0
6786718	8068733	7.0
3353760	2628369	2.0
9008599	2628369	1.0
1115237	2628369	2.0
4451856	5974433	4.0
7443104	5974433	2.0
10948657	588855	2.0
11701537	3994824	1.0
7194297	2097240	3.0
10693598	7212365	2.0
9037208	4685471	1.0
10594993	4685471	3.0
6621340	4685471	3.0
8913947	4685471	2.0
8328970	4685471	4.0
5794690	4685471	8.0
8861562	5974433	1.0
2163392	5974433	2.0
9332174	5085211	2.0
5328198	7212365	2.0
5328198	7212365	2.0
7212365	10133797	4.0
9855577	10133797	2.0
5352399	2956066	4.0
11207938	5597718	1.0
5236005	7117003	16.0
7649569	7117003	3.0
4640905	1524289	4.0
11765695	10133797	1.0
2097240	2217210	140.0
470184	2217210	44.0
4170095	2217210	136.0
5046896	2217210	30.0
2097240	470184	96.0
4170095	470184	92.0
2097240	4170095	4.0
5774840	3098092	3.0
1889418	2097240	2.0
8438176	8438176	2.0
11520760	10886420	2.0
5380380	8842694	1.0
5380380	5136550	1.0
2097240	1782792	1.0
4496794	5324310	1.0
4404709	2099607	2.0
8211505	7331631	2.0
7331631	4685471	2.0
8211505	4685471	4.0
9793316	5974433	6.0
5974433	5310324	16.0
9793316	5310324	22.0
7801852	11368194	2.0
12050636	11368194	2.0
1870832	5884955	1.0
8217456	2956066	1.0
5884955	8112138	2.0
8618806	8112138	2.0
8516059	8563649	3.0
7121726	5668710	14.0
1519264	5668710	7.0
10267239	5668710	4.0
7121726	1519264	7.0
7943474	3987085	3.0
6022269	423926	4.0
1031775	3574081	3.0
5931672	3987085	1.0
5120502	2097240	5.0
11792842	9571777	1.0
11792842	7984359	1.0
1319915	58866	4.0
768600	4320693	1.0
4320693	6438779	1.0
768600	6438779	2.0
768600	6438779	1.0
3630804	349130	2.0
3994824	3742686	2.0
7717192	3742686	2.0
5884955	3742686	2.0
8198105	3742686	1.0
3588025	9025861	3.0
9117119	1714410	2.0
4305208	10886420	2.0
10763046	3161575	1.0
851699	901925	2.0
851699	901925	2.0
3103059	7649152	9.0
10533846	7649152	6.0
5027315	2790047	2.0
6458245	2790047	2.0
11309950	11309950	2.0
5196692	604734	87.0
5884955	604734	82.0
3867406	604734	87.0
604734	604734	27.0
5196692	5884955	5.0
3867406	5884955	5.0
11787513	4685471	4.0
3130926	1714410	1.0
628538	4785185	1.0
4785185	1714410	27.0
628538	1714410	28.0
1714410	1714410	16.0
10288309	1714410	14.0
4909076	349130	3.0
8343436	8563649	2.0
7789281	4393970	1.0
4393970	7789281	1.0
7789281	7789281	2.0
5353461	4909087	7.0
1934212	4909087	2.0
4578685	2099607	1.0
2684272	5284296	1.0
2684272	5284296	1.0
2760995	2760995	2.0
11335550	5825953	2.0
3076183	2097240	1.0
6802252	5810950	1.0
6802252	349130	1.0
7085724	5215538	2.0
8358457	130288	1.0
8563649	1009508	3.0
9117119	1714410	11.0
9357193	5810950	3.0
3118611	10921263	1.0
2593810	2593810	1.0
6322860	6901690	2.0
6322860	6901690	1.0
5150942	5150942	7.0
9114361	11669446	1.0
2956066	8143158	1.0
996366	5298937	1.0
10796158	11669446	3.0
10796158	8926905	1.0
5298937	5668710	2.0
996366	7389608	1.0
5884955	6210807	5.0
4409660	6210807	1.0
3491125	11162165	1.0
11108743	4789373	1.0
9364931	2097240	1.0
9364931	2097240	1.0
1651268	4228275	3.0
11703492	11651301	1.0
6185403	3846213	1.0
5807031	5536887	2.0
10234830	5810950	3.0
5884955	11202128	6.0
11202128	11202128	4.0
7483494	6106129	10.0
2701950	3041068	59.0
5884955	3041068	161.0
5352399	3041068	24.0
5884955	2701950	102.0
4758972	2956066	2.0
207661	624547	37.0
5884955	624547	49.0
5884955	624547	49.0
4229637	624547	16.0
624547	604734	25.0
207661	604734	62.0
5884955	604734	74.0
5884955	604734	74.0
4229637	604734	41.0
5884955	207661	12.0
5884955	207661	12.0
10880612	8841057	1.0
4896087	1699075	2.0
10234830	349130	2.0
10371987	349130	3.0
8316412	349130	2.0
11579387	349130	3.0
2379009	1735003	70.0
1405024	1735003	27.0
3250829	9794742	1.0
8209968	3250829	1.0
7343062	826970	46.0
10555987	1714410	7.0
10279275	7606121	1.0
1138160	9794742	2.0
9794742	8625500	1.0
1009508	8625500	1.0
4088201	2097240	3.0
8625500	423926	2.0
6528055	2099607	2.0
2163392	8625500	1.0
9113939	9794742	2.0
5381185	5094841	1.0
5381185	5094841	1.0
5381185	222216	1.0
5381185	222216	1.0
user2180519	5140223	4.0
11229625	349130	2.0
3101671	3101671	1.0
6117017	8625500	1.0
3441597	8625500	1.0
9393102	867889	1.0
4058766	7378795	2.0
11227347	5495381	2.0
4406595	7126023	2.0
9691706	3250829	1.0
9679298	6347629	1.0
4523949	7923337	3.0
2956066	1090562	2.0
3212998	6778091	1.0
11210476	5154274	1.0
4947590	2956066	1.0
4882698	7126023	1.0
3016483	7126023	1.0
10342203	7126023	1.0
2461937	10953776	1.0
10953776	562769	1.0
2461937	562769	2.0
10479094	562769	1.0
11352300	8332501	2.0
11352300	8332501	2.0
682661	9477338	2.0
2097240	3908170	5.0
3338823	3908170	4.0
2956066	5352399	1.0
2580505	5352399	1.0
3751644	4320693	2.0
10304086	5154274	1.0
1777805	7126023	2.0
2956066	5154274	2.0
205147	7328782	2.0
7362261	7362261	1.0
4121305	4663377	2.0
10360015	4663377	1.0
8100895	2099607	2.0
7387369	7806129	1.0
562769	3214872	5.0
4984066	3214872	3.0
7896849	5652313	1.0
4297035	7126023	1.0
6728973	7126023	1.0
826983	7117003	5.0
10040141	826970	1.0
1777805	5131287	1.0
10293495	7896849	1.0
7896849	7483494	2.0
10293495	7483494	3.0
6705122	6729010	4.0
11352300	11352300	1.0
456654	11192099	2.0
7560008	423926	1.0
9301213	5154274	1.0
8625500	147019	24.0
4516640	147019	2.0
8201676	7137636	5.0
2956066	7483494	4.0
6152687	6152687	1.0
1162647	124091	2.0
4137497	5709722	65.0
3901871	5974433	21.0
6354442	5974433	6.0
8328970	5974433	1.0
8942966	5974433	1.0
8328970	8767500	10.0
5974433	8767500	9.0
8942966	8767500	10.0
8767500	8767500	2.0
5597718	604734	1.0
5353461	604734	1.0
604734	4151395	1.0
5597718	4151395	2.0
5353461	4151395	2.0
5353461	4151395	1.0
1179925	7137636	4.0
10455493	10953776	2.0
5154274	10953776	1.0
9011045	10953776	1.0
10455493	5154274	1.0
8815081	349130	1.0
4164526	5154274	1.0
1179925	1179925	1.0
7701969	7137636	17.0
1670694	604734	2.0
6721603	6901690	1.0
1727392	5298937	1.0
1727392	5597718	1.0
3929490	9758922	1.0
2737131	4280242	4.0
1477917	8661871	6.0
7075360	3293881	2.0
5786339	4345719	1.0
11114048	8346078	1.0
9665421	9665421	1.0
7699696	604734	1.0
8279690	604734	2.0
1091722	1951176	17.0
6438779	1951176	18.0
6438779	1091722	1.0
880783	8563649	3.0
8563649	5974433	29.0
880783	5974433	32.0
3705055	5974433	13.0
9222818	7904315	1.0
913098	6210807	2.0
7928487	1531463	5.0
7017670	826983	1.0
7017670	6276241	1.0
8244858	8143158	1.0
349130	9619186	2.0
8942966	10651567	1.0
5468985	5825953	6.0
6191385	956730	4.0
5148990	2097240	2.0
7770781	9280994	1.0
588855	7896849	2.0
8511957	8208006	2.0
588855	10325051	2.0
9486067	4713386	3.0
10858691	7141506	1.0
11015343	10921263	1.0
user9778234	10989396	3.0
10287557	10921263	6.0
6728052	4280242	1.0
9494790	9494790	2.0
588855	4785185	1.0
4400634	121687	1.0
4400634	6838049	1.0
10971017	5495381	1.0
7959545	6347629	2.0
7474000	2097240	4.0
7474000	2097240	2.0
1650630	10921263	1.0
3424990	10921263	1.0
3831845	2097240	2.0
2097240	3747801	16.0
3831845	3747801	18.0
3747801	3747801	12.0
4728177	9758922	1.0
6940428	9014655	1.0
7908461	9014655	2.0
7908461	6940428	1.0
610569	2956066	2.0
7806129	3114434	10.0
2956066	3114434	7.0
2701950	3114434	14.0
3114434	5250620	8.0
7806129	5250620	18.0
2956066	5250620	15.0
2701950	5250620	22.0
2701950	7806129	4.0
7806129	2956066	3.0
2701950	2956066	7.0
4880918	2099607	2.0
10858691	349130	2.0
4728650	4728650	3.0
825707	5496463	5.0
3103059	5496463	6.0
5476969	5496463	4.0
3103059	825707	1.0
779837	9277245	1.0
1273987	5763590	1.0
8279690	1714410	1.0
3767239	4280242	1.0
5516760	5353461	8.0
9984948	4685471	4.0
207661	4139024	1.0
10049949	7137636	15.0
7855502	2097240	4.0
10853569	1462770	2.0
1097517	2237916	1.0
8386115	2237916	1.0
7241796	2099607	2.0
604734	604734	1.0
7984318	9280994	1.0
7984318	2097240	1.0
2097240	2398444	2.0
7984318	2398444	3.0
7984318	2097240	1.0
9905470	6246880	3.0
3607203	user9477964	2.0
10569558	user9477964	2.0
2938494	4280242	2.0
7241796	2099607	5.0
10763046	10353642	2.0
5550546	2658050	3.0
5145237	2099607	2.0
673592	712995	12.0
8386115	2891324	1.0
6252787	2429640	6.0
7865134	7691129	1.0
8928144	811921	3.0
5307226	5974433	6.0
1538049	2891324	3.0
4398309	4280242	1.0
8834241	2991872	2.0
5884955	8180401	1.0
2701950	2097240	2.0
9181865	9181865	2.0
1179925	2097240	1.0
10746494	9412325	3.0
3994824	3813674	2.0
6304774	3813674	1.0
10716074	7141506	1.0
6491276	349130	1.0
9142137	4592059	1.0
10718989	2398444	4.0
4847250	2398444	3.0
6640916	5171213	7.0
7677894	7483494	1.0
4986593	6280540	3.0
5378310	3009130	1.0
2956066	7119965	29.0
6477475	7119965	13.0
9633432	9049053	1.0
9044381	3250829	2.0
5321842	3994824	4.0
7503252	1782792	1.0
6411159	8593338	1.0
4566277	2099607	2.0
3076183	2217210	2.0
419116	5543198	73.0
1735003	5543198	73.0
5825952	5543198	35.0
7483494	130288	3.0
4438957	1586200	5.0
2576839	5359882	1.0
