from	to
5762576	1643542
5446749	5446749
6662601	7681248
7660194	194586
1581390	10133797
8791503	6287308
5447280	9209546
8607740	10138
8952565	9209546
10121921	7429447
3180716	3824723
5538535	357349
8913334	2464597
1953475	8676953
9478926	6583140
5052566	1231073
4276403	3603682
4127542	3413092
4383245	3293881
5576930	11492024
user8358337	8663760
3437787	4124317
5236124	5003756
9306906	3154274
328036	328036
613540	6394722
2417204	2826937
2252819	7801986
9112585	3293881
3451339	7256341
1128088	850848
8230738	3902974
2743206	812183
215487	14132
7462615	9081395
1558125	8008776
6228056	4909087
10097431	11273429
5149399	3639581
8172687	3185459
8191929	9794932
771848	771848
7048431	deceze51762227
3079726	3791827
5704562	3374996
6651056	7919597
8500516	11003083
8667423	9209546
8210824	17160
900078	5249307
1436508	1714410
10396288	3208297
10123697	7326738
3366418	1701416
10611983	2357112
1768141	624831
3620936	Martijn Pieters49851776
1581390	1581390
8804904	10587171
4796963	5003756
7235253	9313033
2148718	1600898
10750522	10750805
10446619	3397819
5355343	6243352
5110870	5741205
4885154	4124317
9664625	3005167
6299756	7384740
4942590	3265828
1977620	1977620
3437787	11227781
3180386	2336654
3680098	5555052
9468014	2099607
4049762	2901002
9142137	458214
3895259	4478977
9553450	9209546
1943192	1617295
