from	to	weight
5762576	4046632	1
5762576	1643542	11
5446749	5446749	71
6662601	7681248	6
7660194	194586	5
8791503	6287308	11
5447280	9209546	4
8607740	10138	2
8952565	704848	2
8952565	9209546	7
10121921	7429447	12
10121921	4816462	11
3180716	3824723	3
8913334	2464597	13
8913334	6361531	5
1953475	8676953	8
9478926	6583140	2
5052566	1231073	1
4276403	3603682	22
4127542	458741	2
4127542	3413092	48
4383245	3293881	2
user8358337	18243	4
user8358337	8663760	14
3437787	4124317	4
5236124	5003756	4
9306906	3154274	1
328036	328036	2
2252819	7801986	16
9112585	3293881	1
1128088	850848	2
8230738	3902974	3
2743206	812183	366
215487	215487	3
215487	14132	4
7462615	9081395	2
1558125	8008776	4
6228056	4909087	7
10097431	11273429	5
5149399	3639581	6
8172687	3185459	4
8172687	5364318	4
8191929	9794932	1
771848	771848	7
7048431	deceze51762227	3
7048431	4647152	1
3079726	3791827	39
5704562	3374996	5
6651056	7919597	2
8500516	11003083	3
8667423	9209546	6
900078	5249307	2
10123697	7326738	1
10611983	2357112	2
3620936	Martijn Pieters49851776	10
1581390	1581390	14
8804904	10587171	7
4796963	5003756	6
7235253	9313033	2
7235253	7235253	1
5355343	6243352	4
5110870	5741205	4
5110870	4909087	1
9664625	3005167	6
6299756	7384740	5
4942590	3265828	10
1977620	1977620	3
3180386	2336654	1
9468014	2099607	3
4049762	2901002	3
9142137	458214	6
3895259	4478977	4
