user_id	post_type	question_id	answer_id
3537687	question	34220532	
8721742	question	46621774	
7528619	question	42574476	
1536499	question	40184537	
8085890	question	52451797	
1581390	question	48714407	
10724777	question	53547872	
3994824	question	41260042	
8191929	question	58028976	
7549341	question	55548675	
914689	question	42943291	
9422637	question	52961581	
5606352	question	36864774	
7704482	question	50737814	
3747801	question	43715047	
6688750	question	58785715	
12264499	question	58565394	
6217326	question	49546922	
2530674	question	38714959	
1324765	question	51047676	
7732719	question	47665391	
11945144	question	59104092	
7512010	question	59101333	
4317729	question	59095824	
10704050	question	59081232	
5452997	question	36682832	
11630081	question	57004743	
3741834	question	59078187	
3337089	question	59069058	
5257891	question	47440955	
11816060	question	59035736	
893697	question	48516113	
12424865	question	59035523	
9772204	question	55906129	
8700970	question	56846266	
1902610	question	59018085	
4267015	question	58898253	
6276393	question	56204731	
10771746	question	53806892	
1150683	question	58977601	
12406471	question	58966086	
7554826	question	58921394	
6802252	question	47382952	
11368194	question	58679475	
2475195	question	51180234	
4133301	question	58585019	
12397225	question	58932935	
4509339	question	51544666	
1452257	question	31324739	
10704050	question	58870350	
8133917	question	58840221	
11999825	question	58721591	
3204706	question	58867771	
3043636	question	45416245	
9645789	question	50659994	
6342380	question	58846881	
8099521	question	55963892	
3167448	question	41867191	
6372859	question	58839334	
9907733	question	58832191	
4788501	question	56580538	
9936638	question	58575586	
6375313	question	40472499	
6651938	question	58795601	
4868427	question	50183809	
10712335	question	53503389	
6802252	question	47930176	
610569	question	50322001	
9855577	question	58741949	
9855577	question	58719795	
11770758	question	57076930	
880783	question	57704771	
1424739	question	48001598	
7962824	question	58692476	
9633432	question	52867069	
10704050	question	58654841	
6491230	question	56741087	
3216754	question	58649672	
3204706	question	58649559	
6057371	question	58609431	
2905222	question	58631088	
7815941	question	58629296	
9362939	question	53580088	
10828934	question	58608113	
1866775	question	48893528	
5651936	question	37674306	
567620	question	57999225	
3424990	question	47262955	
10392393	question	58591562	
7924106	question	45104970	
12209793	question	58576446	
9276417	question	51605893	
11573842	question	58570923	
6293886	question	43178668	
1490721	question	38972380	
10354279	question	53597406	
1450312	question	58515759	
8767500	question	46840037	
4296850	question	54983295	
8766071	question	47943081	
1578191	question	49079115	
4429617	question	58488172	
3551700	question	50814880	
6807211	question	41061457	
9008599	question	47707793	
1115237	question	48259511	
4451856	question	36556868	
4509378	question	48431282	
5027916	question	44021214	
2182857	question	42875770	
588855	question	54602399	
11522935	question	58400725	
11701537	question	58389268	
7194297	question	46269642	
10693598	question	58368601	
9037208	question	55282224	
10594993	question	54497422	
6621340	question	47884862	
8913947	question	48342068	
8328970	question	46572674	
5794690	question	46705600	
