user_id	post_type	question_id	answer_id
3574081	answer	34220532	34220750
4219997	answer	34220532	42785945
1090562	answer	34220532	43580452
2956066	answer	34220532	47272180
5096199	answer	34220532	48489637
5884955	answer	34220532	54226708
10997543	answer	34220532	54467346
7580851	answer	34220532	55492890
6721863	answer	34220532	56544146
3537687	question	34220532	
12232518	answer	59098610	59325930
5369711	question	59098610	
8721742	answer	46621774	46756327
2266772	answer	46621774	53937484
12295606	answer	46621774	58870147
8721742	question	46621774	
5252990	answer	42574476	43332715
1090562	answer	42574476	43647690
6254131	answer	42574476	47342614
2956066	answer	42574476	47765326
3806413	answer	42574476	48500482
2461937	answer	42574476	58325399
7510333	answer	42574476	59316995
7528619	question	42574476	
7055734	answer	40184537	40187552
1699075	answer	40184537	51694373
1536499	question	40184537	
6106129	answer	52451797	52456426
8085890	question	52451797	
10133797	answer	48714407	58868383
1581390	question	48714407	
7483494	question	59054002	
8957335	answer	56553494	59286165
11633920	question	56553494	
2097240	answer	53547872	53548827
10724777	question	53547872	
10176829	question	54817465	
12175726	answer	58242890	58320282
12515228	answer	58242890	59278183
9813733	question	58242890	
11133810	answer	58977262	59276694
11133810	question	58977262	
3994824	answer	41260042	42647196
823874	answer	41260042	54564848
11935789	answer	41260042	57550913
3994824	question	41260042	
562769	answer	56206942	56208907
11955945	answer	56206942	57587733
21499	answer	56206942	57621524
21499	question	56206942	
349130	answer	57867107	57867315
11977985	answer	57867107	57867455
12045291	answer	57867107	59259771
12045291	question	57867107	
9794932	answer	58028976	58029409
9603973	answer	58028976	58368962
12271466	answer	58028976	58550566
9158477	answer	58028976	58569974
12282702	answer	58028976	58582766
9254522	answer	58028976	58829361
1009508	answer	58028976	59258666
8191929	question	58028976	
3968014	answer	55548675	55550434
9061422	answer	55548675	59257600
7549341	question	55548675	
1647057	answer	42943291	42964543
914689	question	42943291	
6690997	answer	59033031	59256703
458105	question	59033031	
7469434	answer	52961581	52961701
4706171	answer	52961581	59241151
9422637	question	52961581	
349130	answer	36864774	36872347
4706171	answer	36864774	59231724
5606352	question	36864774	
10938273	answer	54238303	54269848
7981832	answer	54238303	59233874
2641587	question	54238303	
5082048	answer	57988620	58158765
5210052	question	57988620	
9698518	answer	50737814	50743967
7704482	question	50737814	
7649152	answer	43715047	43856966
5938762	answer	43715047	44569375
9325130	answer	43715047	57384492
3747801	question	43715047	
5708323	answer	37679697	37709817
5651936	answer	37679697	37735306
5651936	question	37679697	
7849908	answer	45282297	45283947
8332744	question	45282297	
2097240	answer	58785715	58842114
6688750	question	58785715	
12489198	answer	56598701	59206626
11629031	question	56598701	
8199645	question	59089191	
3337089	question	59084901	
1329739	answer	58565394	58566065
2959389	answer	58565394	58574260
12264499	question	58565394	
7685107	question	49708891	
12480218	answer	59005766	59177715
12419958	question	59005766	
3337089	question	59091650	
11530462	answer	57187901	59172405
11831569	question	57187901	
2099607	answer	55222422	55246891
12309410	answer	55222422	59148226
7873912	question	55222422	
3994228	answer	49546922	49554465
2135504	answer	49546922	55146535
2485985	answer	49546922	58485055
4549682	answer	49546922	58549061
1203082	answer	49546922	59166032
6217326	question	49546922	
6596664	answer	38714959	38737941
7624711	answer	38714959	50018200
2097240	answer	38714959	50235563
2530674	question	38714959	
2097240	answer	51047676	51047782
1906450	answer	51047676	53724840
11478452	answer	51047676	59148584
1324765	question	51047676	
4578111	answer	58844459	58848732
8861099	question	58844459	
7673365	question	55773156	
11530462	answer	58228998	59069527
9813733	question	58228998	
11530462	answer	58013898	59133774
10589938	question	58013898	
12461615	question	59119865	
7762646	question	59102184	
10158046	answer	59121672	59122790
12421332	question	59121672	
6583936	answer	59119247	59121218
5740624	question	59119247	
9025861	answer	59023969	59026273
8188162	answer	59023969	59027222
4523949	answer	59023969	59027503
12280125	question	59023969	
6370655	answer	59113797	59118599
10812635	question	59113797	
11878567	answer	59116831	59117706
11782167	question	59116831	
9659601	question	59117652	
5276158	answer	59115888	59115958
7512010	question	59115888	
7694977	question	59115333	
11802331	question	59114158	
2097240	answer	47665391	47665700
10980519	answer	47665391	54560750
9435195	answer	47665391	56923624
7732719	question	47665391	
12457465	question	59109898	
2973474	answer	59089564	59089796
4317729	question	59089564	
4024613	question	59111270	
12381839	question	59093276	
12397093	answer	59102715	59106524
856588	answer	59102715	59106933
5760642	question	59102715	
8551949	answer	59104092	59104266
5136550	answer	59104092	59104291
6370655	answer	59104092	59105944
11945144	question	59104092	
12456284	answer	57192111	59103822
10618542	question	57192111	
6117017	answer	59103460	59104024
7956945	question	59103460	
11985021	answer	59101333	59101771
5884955	answer	59101333	59102224
5136550	answer	59101333	59102447
7512010	question	59101333	
8127960	answer	59095824	59095884
10886420	answer	59095824	59098311
2956066	answer	59095824	59100353
4317729	question	59095824	
6276740	answer	59097989	59100098
11506519	question	59097989	
7638692	question	59098835	
2097240	answer	59081232	59098249
10704050	question	59081232	
5136550	answer	59086830	59097844
2022548	question	59086830	
2805070	answer	36682832	47523766
1466792	answer	36682832	53417078
3306091	answer	36682832	59089413
5452997	question	36682832	
7120057	question	59084460	
11630081	answer	57004743	57016720
10532713	answer	57004743	58263896
12450749	answer	57004743	59085288
11630081	question	57004743	
458661	answer	59083825	59083949
12450239	question	59083825	
4086100	question	59072598	
11506519	question	59081472	
5783902	answer	55220139	59043805
