user_id	user_type	display_name	reputation	link	profile_image	total_questions	total_answers	total_answered_questions	total_accepted_answers	total_max_upvote	total_answer_upvote	total_question_upvote	total_upvote_score
3537687	registered	abora	923	https://stackoverflow.com/users/3537687/abora	https://www.gravatar.com/avatar/425ef99d4c1f3341ba3de413363e6809?s=128&d=identicon&r=PG&f=1	1	0	1	0	0	0	0	
3574081	registered	mrry	109675	https://stackoverflow.com/users/3574081/mrry	https://i.stack.imgur.com/LIW6C.jpg?s=128&g=1	0	34	0	22	26	437	581	0.7521514629948365
4219997	registered	Gordon Erlebacher	1	https://stackoverflow.com/users/4219997/gordon-erlebacher	https://www.gravatar.com/avatar/833d303f4f3228be523d71b6c0caed4d?s=128&d=identicon&r=PG&f=1	0	1	0	0	0	0	176	0.0
1090562	registered	Salvador Dali	151411	https://stackoverflow.com/users/1090562/salvador-dali	https://www.gravatar.com/avatar/d675b3e6225683ba6432496ec23ed806?s=128&d=identicon&r=PG	0	11	0	0	1	99	1620	0.06111111111111111
2956066	registered	kmario23	26490	https://stackoverflow.com/users/2956066/kmario23	https://i.stack.imgur.com/Bqbcr.png?s=128&g=1	3	46	3	19	21	228	1525	0.14950819672131146
5096199	registered	Robin Dinse	873	https://stackoverflow.com/users/5096199/robin-dinse	https://i.stack.imgur.com/jfMix.png?s=128&g=1	0	1	0	0	0	38	176	0.2159090909090909
5884955	registered	prosti	12958	https://stackoverflow.com/users/5884955/prosti	https://i.stack.imgur.com/J55wI.jpg?s=128&g=1	0	14	0	1	1	12	860	0.013953488372093023
10997543	registered	Aashish Dahiya	21	https://stackoverflow.com/users/10997543/aashish-dahiya	https://www.gravatar.com/avatar/4c2524cf5890fdc58beeddff526276b2?s=128&d=identicon&r=PG&f=1	0	1	0	0	0	0	176	0.0
7580851	registered	Prabhant Singh	1	https://stackoverflow.com/users/7580851/prabhant-singh	https://lh4.googleusercontent.com/-k-4J25ZTJCU/AAAAAAAAAAI/AAAAAAAAG0U/6Gh1q0IbP8A/photo.jpg?sz=128	0	1	0	0	0	0	176	0.0
6721863	registered	user5931	13	https://stackoverflow.com/users/6721863/user5931	https://graph.facebook.com/100003622586828/picture?type=large	0	1	0	0	0	1	176	0.005681818181818182
5369711	registered	J. Krajewski	1	https://stackoverflow.com/users/5369711/j-krajewski	https://i.stack.imgur.com/vn19k.jpg?s=128&g=1	1	0	0	0	0	0	0	
