user_id	user_type	display_name	reputation	link	profile_image	total_questions	total_answers	total_answered_questions	total_accepted_answers	total_max_upvote	total_answer_upvote	total_question_upvote	total_upvote_score
3537687	registered	abora	923.0	https://stackoverflow.com/users/3537687/abora	https://www.gravatar.com/avatar/425ef99d4c1f3341ba3de413363e6809?s=128&d=identicon&r=PG&f=1	1	0	1	0	0	0	0	
3574081	registered	mrry	109675.0	https://stackoverflow.com/users/3574081/mrry	https://i.stack.imgur.com/LIW6C.jpg?s=128&g=1	0	34	0	22	26	437	581	0.7521514629948365
1090562	registered	Salvador Dali	151411.0	https://stackoverflow.com/users/1090562/salvador-dali	https://www.gravatar.com/avatar/d675b3e6225683ba6432496ec23ed806?s=128&d=identicon&r=PG	0	11	0	0	1	99	1620	0.06111111111111111
2956066	registered	kmario23	26490.0	https://stackoverflow.com/users/2956066/kmario23	https://i.stack.imgur.com/Bqbcr.png?s=128&g=1	3	46	3	19	21	228	1525	0.14950819672131144
5884955	registered	prosti	12958.0	https://stackoverflow.com/users/5884955/prosti	https://i.stack.imgur.com/J55wI.jpg?s=128&g=1	0	14	0	1	1	12	860	0.013953488372093023
5369711	registered	J. Krajewski	1.0	https://stackoverflow.com/users/5369711/j-krajewski	https://i.stack.imgur.com/vn19k.jpg?s=128&g=1	1	0	0	0	0	0	0	
8721742	registered	Naren	234.0	https://stackoverflow.com/users/8721742/naren	https://www.gravatar.com/avatar/3c5491d7078fca5c5a50713f0a6842cd?s=128&d=identicon&r=PG&f=1	1	1	1	1	0	1	5	0.2
2266772	registered	Matthieu Brucher	18505.0	https://stackoverflow.com/users/2266772/matthieu-brucher	https://www.gravatar.com/avatar/60e03bd1fd9f2dbc750e0899b9e7e71d?s=128&d=identicon&r=PG	0	2	0	1	0	1	5	0.2
7528619	registered	Brm-Covi&#223;io	549.0	https://stackoverflow.com/users/7528619/brm-covi%c3%9fio	https://www.gravatar.com/avatar/380f8c29164cdaa83cba3d7f4834c820?s=128&d=identicon&r=PG&f=1	4	0	2	0	0	0	0	
2461937	registered	Jeereddy	521.0	https://stackoverflow.com/users/2461937/jeereddy	https://www.gravatar.com/avatar/845477c2c657fc42c7af5dfdcb970b6a?s=128&d=identicon&r=PG	0	2	0	0	0	0	94	0.0
1536499	registered	anthonybell	4399.0	https://stackoverflow.com/users/1536499/anthonybell	https://www.gravatar.com/avatar/89e526614489231084932e87399ef9d3?s=128&d=identicon&r=PG	2	0	2	0	0	0	0	
1699075	registered	thushv89	2905.0	https://stackoverflow.com/users/1699075/thushv89	https://www.gravatar.com/avatar/f98755ae308675f5519efc97c2474730?s=128&d=identicon&r=PG	0	10	0	6	5	23	445	0.051685393258426963
8085890	registered	gopalkrizna	386.0	https://stackoverflow.com/users/8085890/gopalkrizna	https://lh5.googleusercontent.com/-B4HnFBD_cVM/AAAAAAAAAAI/AAAAAAAAAC8/6z-DsM2EJ4o/photo.jpg?sz=128	2	0	2	0	0	0	0	
6106129	registered	Salih Karagoz	1517.0	https://stackoverflow.com/users/6106129/salih-karagoz	https://www.gravatar.com/avatar/e6db71c3e3619b428351f4d182c0fab6?s=128&d=identicon&r=PG&f=1	0	5	0	4	5	34	34	1.0
1581390	registered	user1581390	1160.0	https://stackoverflow.com/users/1581390/user1581390	https://www.gravatar.com/avatar/075f8e33addc4f7aa47494e8121c8879?s=128&d=identicon&r=PG	1	0	1	0	0	0	0	
10133797	registered	OverLordGoldDragon	6444.0	https://stackoverflow.com/users/10133797/overlordgolddragon	https://i.stack.imgur.com/fRfyo.png?s=128&g=1	0	15	0	10	10	25	26	0.9615384615384616
